id,content,choices
2239,上腕三頭筋の主な作用は？,"肘関節伸展,肘関節屈曲,肩関節外転,足関節底屈"
2240,三角筋中部線維の主な作用は？,"肩関節外転,肩関節伸展,肘屈曲,股関節内転"
2241,中臀筋の主な作用は？,"股関節外転,股関節内転,膝伸展,足関節底屈"
2242,大胸筋の主な作用は？,"肩関節内転,膝伸展,足関節背屈,頸部伸展"
2243,広背筋の主な作用は？,"肩関節伸展,膝屈曲,足関節底屈,肘伸展"
2244,腹直筋の主な作用は？,"体幹屈曲,体幹伸展,肩外転,股関節外旋"
2245,脊柱起立筋の主な作用は？,"体幹伸展,体幹屈曲,膝屈曲,肘伸展"
2246,僧帽筋上部線維の主な作用は？,"肩甲骨挙上,肩甲骨下制,股関節屈曲,膝伸展"
2247,前鋸筋の主な作用は？,"肩甲骨外転,肩甲骨内転,肩関節屈曲,股関節伸展"
2248,歩行周期で最初に踵が接地する時期は？,"初期接地,立脚終期,遊脚中期,前遊脚期"
2249,歩行周期で片脚支持となる時期は？,"立脚中期,初期接地,両脚支持期,前遊脚期"
2250,歩行周期で足尖が地面から離れる時期は？,"前遊脚期,立脚中期,初期接地,遊脚終期"
2251,歩行時に最も重要な足関節運動は？,"背屈と底屈,回内と回外,内転と外転,屈曲と伸展"
2252,歩行時の推進力に関与する筋は？,"腓腹筋,上腕二頭筋,大胸筋,僧帽筋"
2253,歩行時に骨盤安定に重要な筋は？,"中臀筋,大胸筋,上腕三頭筋,腹直筋"
2254,歩行時に踵接地直後に働きやすい筋は？,"前脛骨筋,腓腹筋,大臀筋,大腿二頭筋"
2255,通常歩行で最も長い時期は？,"立脚期,遊脚期,前遊脚期,初期接地"
2256,通常歩行で遊脚期は歩行周期の何％程度？,"40%,60%,20%,80%"
2257,歩行時に体重支持を行う時期は？,"立脚期,遊脚期,前遊脚期,遊脚終期"
2258,歩幅を何という？,"ストライド長,歩隔,歩行率,支持基底面"
2259,左右の足の幅を何という？,"歩隔,歩幅,歩行率,立脚期"
2260,歩行速度に関係するものは？,"歩幅と歩行率,筋力のみ,身長のみ,肺活量のみ"
2261,歩行時に股関節伸展へ関与する筋は？,"大臀筋,前脛骨筋,上腕二頭筋,前鋸筋"
2262,遊脚期に足尖クリアランス確保へ重要な筋は？,"前脛骨筋,大胸筋,腹直筋,広背筋"
2263,正常姿勢で耳垂はどこと一直線に近い？,"肩峰,膝蓋骨,足趾,肘頭"
2264,猫背姿勢で増加しやすい脊柱弯曲は？,"胸椎後弯,腰椎前弯,頸椎前弯,仙骨後弯"
2265,反り腰で増加しやすい弯曲は？,"腰椎前弯,胸椎後弯,頸椎後弯,仙骨前弯"
2266,姿勢保持に重要な筋は？,"脊柱起立筋,上腕二頭筋,大胸筋,前鋸筋"
2267,立位姿勢で重心線が通りやすい部位は？,"大転子やや後方,膝蓋骨前方,踵後方,足趾先端"
2268,長時間不良姿勢で起こりやすいものは？,"筋疲労,骨伸長,身長増加,筋肥大"
2269,座位姿勢で骨盤後傾すると起こりやすいものは？,"猫背,反り腰,肩外転,股関節外旋"
2270,姿勢制御に重要な感覚は？,"視覚,味覚,嗅覚,触覚のみ"
2271,平衡感覚に関与する器官は？,"前庭器,肺,腎臓,胃"
2272,姿勢保持で重要な筋群を何という？,"抗重力筋,呼吸筋,表情筋,咀嚼筋"
2273,正常立位で膝関節はどうなりやすい？,"軽度伸展位,深屈曲位,完全屈曲位,外旋位"
2274,頭部前方姿勢で負担が増えやすい部位は？,"頸部,足関節,股関節,手関節"
2275,姿勢保持に重要な中枢は？,"小脳,胃,腎臓,脾臓"
2276,左右非対称姿勢で起こりやすいものは？,"筋バランス不良,肺活量増加,骨延長,血圧低下"
2277,姿勢保持に重要な足部機能は？,"支持基底面形成,呼吸補助,視覚調節,嚥下"
2278,てこの支点となる部分を何という？,"支点,力点,作用点,回転点"
2279,筋力が加わる部分を何という？,"力点,支点,重心,軸心"
2280,身体に加わる重力の作用点を何という？,"重心,支点,力点,回転軸"
2281,関節運動の回転中心を何という？,"関節軸,重心,支持面,作用点"
2282,第1種てこの例として適切なのは？,"頸部伸展,肘屈曲,つま先立ち,握力"
2283,第2種てこの例として適切なのは？,"つま先立ち,肘屈曲,頸部伸展,肩外転"
2284,第3種てこの例として適切なのは？,"肘屈曲,つま先立ち,頸部伸展,立位保持"
2285,支持基底面が広いとどうなる？,"安定性が増す,不安定になる,重心が消える,筋力が不要になる"
2286,重心が低いほどどうなる？,"安定性が増す,転倒しやすい,筋力低下する,歩幅が減る"
2287,歩行時の推進力に関与しやすい筋は？,"腓腹筋,上腕二頭筋,大胸筋,僧帽筋"
2288,摩擦力が大きいとどうなる？,"滑りにくい,滑りやすい,重力消失,筋収縮停止"
2289,トルクとは何か？,"回転させる力,直線運動,重力のみ,摩擦消失"
2290,関節モーメントに影響するものは？,"力の大きさと距離,身長のみ,体温のみ,呼吸数のみ"
2291,立位で重心線が支持基底面外へ出るとどうなる？,"転倒しやすい,安定する,筋疲労消失,呼吸停止"
2292,歩行時の衝撃吸収に関与するものは？,"関節屈曲,筋停止,骨固定,重心上昇"
2293,立ち上がり動作で最初に起こりやすい動きは？,"体幹前傾,膝伸展,肩外転,頸部伸展"
2294,立ち上がり動作で主に働く筋は？,"大腿四頭筋,上腕二頭筋,前鋸筋,僧帽筋"
2295,歩行時の蹴り出しに重要な筋は？,"腓腹筋,大胸筋,広背筋,上腕三頭筋"
2296,歩行時の骨盤安定に重要な筋は？,"中臀筋,腹直筋,大胸筋,前腕屈筋"
2297,階段昇段で重要な関節運動は？,"膝伸展,肘屈曲,肩外転,頸部回旋"
2299,歩行時に足尖クリアランス確保へ重要な筋は？,"前脛骨筋,大臀筋,広背筋,僧帽筋"
2300,物を持ち上げる時に重要な姿勢は？,"膝屈曲,頸部伸展,肩外転,足関節固定"
2301,片脚立位で安定性に重要なものは？,"支持基底面,呼吸数,視力のみ,握力"
2302,歩行速度に影響する要素は？,"歩幅と歩行率,身長のみ,肺活量のみ,握力のみ"
2303,立位姿勢保持に重要な筋は？,"脊柱起立筋,上腕二頭筋,大胸筋,咬筋"
2304,方向転換時に重要な能力は？,"バランス能力,視力のみ,肺活量,握力"
2305,しゃがみ動作で大きく屈曲する関節は？,"膝関節,肩関節,肘関節,手関節"
2306,立ち上がり動作で必要な能力は？,"下肢筋力,視力のみ,握力のみ,肺活量のみ"
2307,歩行時の重心移動で重要なものは？,"骨盤運動,肘運動,顎運動,指運動"
7679,肩甲骨に存在する突起は？,"肩峰,大転子,内果,乳様突起"
7680,脛骨は下腿のどちら側にある？,"内側,外側,後方,前方"
7681,腓骨は下腿のどちら側にある？,"外側,内側,前方,中央"
7682,胸骨はどこに存在する骨？,"胸部前面,頭部,骨盤,下腿"
7683,上腕骨遠位端外側にあるものは？,"小頭,大転子,尺骨頭,内果"
7684,骨盤を構成する骨は？,"腸骨,肩甲骨,胸骨,鎖骨"
7685,頭蓋骨で下顎骨と関節を作る骨は？,"側頭骨,前頭骨,頭頂骨,蝶形骨"
7687,脊柱を構成する骨は？,"椎骨,肋骨,鎖骨,肩甲骨"
7688,肋骨は何対存在する？,"12対,10対,8対,14対"
7689,鎖骨はどことどこをつなぐ？,"胸骨と肩甲骨,頭蓋骨と肩甲骨,上腕骨と胸骨,脛骨と腓骨"
