id,content,choices
2245,脊柱起立筋の主な作用は？,"体幹伸展,体幹屈曲,膝屈曲,肘伸展"
2246,僧帽筋上部線維の主な作用は？,"肩甲骨挙上,肩甲骨下制,股関節屈曲,膝伸展"
2247,前鋸筋の主な作用は？,"肩甲骨外転,肩甲骨内転,肩関節屈曲,股関節伸展"
2248,歩行周期で最初に踵が接地する時期は？,"初期接地,立脚終期,遊脚中期,前遊脚期"
2249,歩行周期で片脚支持となる時期は？,"立脚中期,初期接地,両脚支持期,前遊脚期"
2250,歩行周期で足尖が地面から離れる時期は？,"前遊脚期,立脚中期,初期接地,遊脚終期"
2251,歩行時に最も重要な足関節運動は？,"背屈と底屈,回内と回外,内転と外転,屈曲と伸展"
2252,歩行時の推進力に関与する筋は？,"腓腹筋,上腕二頭筋,大胸筋,僧帽筋"
2253,歩行時に骨盤安定に重要な筋は？,"中臀筋,大胸筋,上腕三頭筋,腹直筋"
2254,歩行時に踵接地直後に働きやすい筋は？,"前脛骨筋,腓腹筋,大臀筋,大腿二頭筋"
2255,通常歩行で最も長い時期は？,"立脚期,遊脚期,前遊脚期,初期接地"
2256,通常歩行で遊脚期は歩行周期の何％程度？,"40%,60%,20%,80%"
2257,歩行時に体重支持を行う時期は？,"立脚期,遊脚期,前遊脚期,遊脚終期"
2258,歩幅を何という？,"ストライド長,歩隔,歩行率,支持基底面"
2259,左右の足の幅を何という？,"歩隔,歩幅,歩行率,立脚期"
2260,歩行速度に関係するものは？,"歩幅と歩行率,筋力のみ,身長のみ,肺活量のみ"
2261,歩行時に股関節伸展へ関与する筋は？,"大臀筋,前脛骨筋,上腕二頭筋,前鋸筋"
2262,遊脚期に足尖クリアランス確保へ重要な筋は？,"前脛骨筋,大胸筋,腹直筋,広背筋"
2263,正常姿勢で耳垂はどこと一直線に近い？,"肩峰,膝蓋骨,足趾,肘頭"
2264,猫背姿勢で増加しやすい脊柱弯曲は？,"胸椎後弯,腰椎前弯,頸椎前弯,仙骨後弯"
2265,反り腰で増加しやすい弯曲は？,"腰椎前弯,胸椎後弯,頸椎後弯,仙骨前弯"
2266,姿勢保持に重要な筋は？,"脊柱起立筋,上腕二頭筋,大胸筋,前鋸筋"
2267,立位姿勢で重心線が通りやすい部位は？,"大転子やや後方,膝蓋骨前方,踵後方,足趾先端"
2268,長時間不良姿勢で起こりやすいものは？,"筋疲労,骨伸長,身長増加,筋肥大"
2269,座位姿勢で骨盤後傾すると起こりやすいものは？,"猫背,反り腰,肩外転,股関節外旋"
2270,姿勢制御に重要な感覚は？,"視覚,味覚,嗅覚,触覚のみ"
2271,平衡感覚に関与する器官は？,"前庭器,肺,腎臓,胃"
2272,姿勢保持で重要な筋群を何という？,"抗重力筋,呼吸筋,表情筋,咀嚼筋"
2273,正常立位で膝関節はどうなりやすい？,"軽度伸展位,深屈曲位,完全屈曲位,外旋位"
2274,頭部前方姿勢で負担が増えやすい部位は？,"頸部,足関節,股関節,手関節"
2275,姿勢保持に重要な中枢は？,"小脳,胃,腎臓,脾臓"
2276,左右非対称姿勢で起こりやすいものは？,"筋バランス不良,肺活量増加,骨延長,血圧低下"
2277,姿勢保持に重要な足部機能は？,"支持基底面形成,呼吸補助,視覚調節,嚥下"
2278,てこの支点となる部分を何という？,"支点,力点,作用点,回転点"
2279,筋力が加わる部分を何という？,"力点,支点,重心,軸心"
2280,身体に加わる重力の作用点を何という？,"重心,支点,力点,回転軸"
2281,関節運動の回転中心を何という？,"関節軸,重心,支持面,作用点"
2282,第1種てこの例として適切なのは？,"頸部伸展,肘屈曲,つま先立ち,握力"
2283,第2種てこの例として適切なのは？,"つま先立ち,肘屈曲,頸部伸展,肩外転"
2284,第3種てこの例として適切なのは？,"肘屈曲,つま先立ち,頸部伸展,立位保持"
2285,支持基底面が広いとどうなる？,"安定性が増す,不安定になる,重心が消える,筋力が不要になる"
2286,重心が低いほどどうなる？,"安定性が増す,転倒しやすい,筋力低下する,歩幅が減る"
2287,歩行時の推進力に関与しやすい筋は？,"腓腹筋,上腕二頭筋,大胸筋,僧帽筋"
2288,摩擦力が大きいとどうなる？,"滑りにくい,滑りやすい,重力消失,筋収縮停止"
2289,トルクとは何か？,"回転させる力,直線運動,重力のみ,摩擦消失"
2290,関節モーメントに影響するものは？,"力の大きさと距離,身長のみ,体温のみ,呼吸数のみ"
2291,立位で重心線が支持基底面外へ出るとどうなる？,"転倒しやすい,安定する,筋疲労消失,呼吸停止"
2292,歩行時の衝撃吸収に関与するものは？,"関節屈曲,筋停止,骨固定,重心上昇"
2293,立ち上がり動作で最初に起こりやすい動きは？,"体幹前傾,膝伸展,肩外転,頸部伸展"
2294,立ち上がり動作で主に働く筋は？,"大腿四頭筋,上腕二頭筋,前鋸筋,僧帽筋"
2295,歩行時の蹴り出しに重要な筋は？,"腓腹筋,大胸筋,広背筋,上腕三頭筋"
2296,歩行時の骨盤安定に重要な筋は？,"中臀筋,腹直筋,大胸筋,前腕屈筋"
2297,階段昇段で重要な関節運動は？,"膝伸展,肘屈曲,肩外転,頸部回旋"
2299,歩行時に足尖クリアランス確保へ重要な筋は？,"前脛骨筋,大臀筋,広背筋,僧帽筋"
2300,物を持ち上げる時に重要な姿勢は？,"膝屈曲,頸部伸展,肩外転,足関節固定"
2301,片脚立位で安定性に重要なものは？,"支持基底面,呼吸数,視力のみ,握力"
2302,歩行速度に影響する要素は？,"歩幅と歩行率,身長のみ,肺活量のみ,握力のみ"
2303,立位姿勢保持に重要な筋は？,"脊柱起立筋,上腕二頭筋,大胸筋,咬筋"
2304,方向転換時に重要な能力は？,"バランス能力,視力のみ,肺活量,握力"
2305,しゃがみ動作で大きく屈曲する関節は？,"膝関節,肩関節,肘関節,手関節"
2306,立ち上がり動作で必要な能力は？,"下肢筋力,視力のみ,握力のみ,肺活量のみ"
2307,歩行時の重心移動で重要なものは？,"骨盤運動,肘運動,顎運動,指運動"
8168,肘関節を曲げる動きを何という？,"屈曲,伸展,外転,回旋"
8169,膝関節を伸ばす動きを何という？,"伸展,屈曲,内転,外旋"
8170,腕を体側から離す動きは？,"外転,内転,屈曲,伸展"
8171,腕を身体へ近づける動きは？,"内転,外転,屈曲,回外"
8172,前腕で手のひらを上へ向ける動きは？,"回外,回内,背屈,底屈"
8173,前腕で手のひらを下へ向ける動きは？,"回内,回外,外旋,内旋"
8174,足関節でつま先を上げる動きは？,"背屈,底屈,回内,外転"
8175,足関節でつま先立ちする動きは？,"底屈,背屈,内反,外反"
8176,股関節で太ももを前へ上げる動きは？,"屈曲,伸展,内転,外旋"
8177,股関節で脚を後ろへ動かす動きは？,"伸展,屈曲,外転,回外"
8178,肩関節で腕を前へ上げる動きは？,"屈曲,伸展,内旋,外転"
8179,肩関節で腕を後ろへ引く動きは？,"伸展,屈曲,外転,回内"
8180,肩関節で上腕を外へ回す動きは？,"外旋,内旋,回外,回内"
8181,肩関節で上腕を内へ回す動きは？,"内旋,外旋,背屈,回外"
8182,複数方向へ円を描くような運動を何という？,"環回,屈曲,伸展,回外"
8197,ROMとは何の略？,"Range of Motion,Rate of Muscle,Rotation of Muscle,Range of Muscle"
8211,菱形筋の主な作用は？,"肩甲骨内転,肩甲骨外転,股関節屈曲,肘伸展"
8213,歩行周期で踵が床につく時期は？,"踵接地,立脚中期,遊脚期,蹴り出し"
8214,歩行周期で足が床についている期間は？,"立脚期,遊脚期,加速期,減速期"
8215,歩行周期で足が空中にある期間は？,"遊脚期,立脚期,両脚支持期,接地期"
8216,正常歩行で最も長い時期は？,"立脚期,遊脚期,加速期,減速期"
8217,歩行時につま先で地面を蹴る時期は？,"蹴り出し,踵接地,初期接地,加速期"
8218,片脚だけで支持している時期は？,"片脚支持期,両脚支持期,遊脚期,加速期"
8219,両足が床についている期間は？,"両脚支持期,片脚支持期,遊脚期,加速期"
8221,歩行時につま先の引っかかり防止に重要な筋は？,"前脛骨筋,腓腹筋,大臀筋,大胸筋"
8222,中臀筋が弱化すると起こりやすい歩行は？,"トレンデレンブルグ歩行,鶏歩,痙性歩行,失調性歩行"
8223,前脛骨筋麻痺で起こりやすい歩行は？,"鶏歩,痙性歩行,動揺性歩行,小刻み歩行"
8224,パーキンソン病でみられやすい歩行は？,"小刻み歩行,鶏歩,失調性歩行,動揺性歩行"
8225,小脳障害でみられやすい歩行は？,"失調性歩行,鶏歩,痙性歩行,小刻み歩行"
8226,痙性麻痺でみられやすい歩行は？,"痙性歩行,鶏歩,動揺性歩行,失調性歩行"
8227,正常歩行で最初に接地する部位は？,"踵,つま先,足底中央,母趾"
8228,正常姿勢で耳垂はどこ付近を通る？,"肩峰,膝蓋骨,大転子,外果"
8229,猫背姿勢を何という？,"円背,反り腰,側弯,平背"
8230,腰椎前弯が強い姿勢を何という？,"反り腰,円背,平背,側弯"
8231,脊柱が側方へ弯曲する状態を何という？,"側弯,円背,平背,前弯"
8232,胸椎後弯が減少した姿勢は？,"平背,円背,側弯,反張膝"
8233,片脚立位時の骨盤保持に重要な筋は？,"中臀筋,大腿四頭筋,腹直筋,上腕二頭筋"
8234,良い姿勢保持に重要な筋群は？,"抗重力筋,咀嚼筋,表情筋,呼吸筋"
8235,長時間座位で起こりやすい姿勢は？,"円背,正常姿勢,反張膝,外反膝"
8236,姿勢保持に重要な感覚は？,"平衡感覚,味覚,嗅覚,聴覚"
8237,立位姿勢保持に関与する器官は？,"前庭器,胃,肝臓,膀胱"
8239,姿勢制御に関与する中枢は？,"小脳,肝臓,膵臓,腎臓"
8240,膝が過伸展した姿勢を何という？,"反張膝,内反膝,外反膝,円背"
8241,膝が内側へ入る姿勢を何という？,"外反膝,内反膝,反張膝,円背"
8242,膝が外側へ開く姿勢を何という？,"内反膝,外反膝,側弯,平背"
8243,力のモーメントは何によって変化する？,"力の大きさと距離,筋肉量のみ,体温のみ,呼吸数のみ"
8244,てこの支点となるものは？,"関節,筋肉,骨膜,靭帯"
8245,筋力が加わる点を何という？,"力点,支点,作用点,重心"
8246,体重など負荷が加わる点を何という？,"作用点,力点,支点,回転点"
8247,肘関節屈曲はどのてこに分類される？,"第三のてこ,第一のてこ,第二のてこ,滑車"
8248,つま先立ちはどのてこに分類される？,"第二のてこ,第一のてこ,第三のてこ,回転てこ"
8249,頭部前後運動はどのてこに分類される？,"第一のてこ,第二のてこ,第三のてこ,固定てこ"
8250,重心が高いほどどうなりやすい？,"不安定,安定,変化なし,軽量化"
8251,支持基底面が広いほどどうなる？,"安定する,不安定になる,筋力低下する,柔軟性低下する"
8252,歩行時の重心移動に関与するものは？,"骨盤運動,胃運動,腸蠕動,胆汁分泌"
8254,重心線が支持基底面内にあると？,"安定しやすい,転倒しやすい,筋力低下する,関節固定される"
8255,加速度に関係する法則は？,"ニュートン第2法則,パスカルの法則,ベルヌーイの定理,フックの法則"
8256,慣性の法則は何法則？,"ニュートン第1法則,ニュートン第2法則,ニュートン第3法則,作用反作用の法則"
8257,作用反作用を説明する法則は？,"ニュートン第3法則,ニュートン第1法則,パスカルの法則,フックの法則"
8258,立ち上がり動作で主に必要な関節運動は？,"股関節伸展,肩関節外転,前腕回外,頸部回旋"
8259,歩行時の蹴り出しで主に働く筋は？,"腓腹筋,前脛骨筋,上腕二頭筋,腹直筋"
8260,階段昇段で特に重要な筋は？,"大腿四頭筋,前鋸筋,上腕三頭筋,腹横筋"
8261,階段降段で重要な収縮様式は？,"遠心性収縮,求心性収縮,等尺性収縮,反射収縮"
8262,片脚立位保持に重要な筋は？,"中臀筋,大胸筋,上腕二頭筋,広背筋"
8263,しゃがみ込み動作で必要な関節運動は？,"膝関節屈曲,肩関節外転,頸部伸展,前腕回外"
8264,椅子から立ち上がる際に前傾する主な目的は？,"重心移動,呼吸促進,視野拡大,筋弛緩"
8265,歩行時に足尖の引っかかり防止へ重要な筋は？,"前脛骨筋,腓腹筋,大臀筋,大腿四頭筋"
8266,立位保持で重要な感覚は？,"平衡感覚,味覚,嗅覚,触覚のみ"
8267,寝返り動作で重要な運動は？,"体幹回旋,膝伸展,足関節底屈,肩外転"
8268,立ち上がり動作初期で重心はどう動く？,"前方移動,後方移動,上方移動のみ,変化しない"
8269,歩行速度に影響しやすいものは？,"歩幅,視力,色覚,味覚"
8270,動作分析で観察されやすいものは？,"関節運動,血液型,髪色,利き手のみ"
8272,立位バランス保持に重要な器官は？,"前庭器,胃,肝臓,膀胱"
12144,肘を曲げる運動を何という？,"屈曲,伸展,外転,回旋"
12145,肘を伸ばす運動を何という？,"伸展,屈曲,内転,回内"
12146,腕を横へ上げる運動は？,"外転,内転,屈曲,伸展"
12147,腕を身体へ近づける運動は？,"内転,外転,回外,回旋"
12148,前腕で手のひらを上に向ける運動は？,"回外,回内,外転,屈曲"
12149,前腕で手のひらを下に向ける運動は？,"回内,回外,伸展,外旋"
12150,足首でつま先を上げる運動は？,"背屈,底屈,内反,外反"
12151,足首でつま先立ちする運動は？,"底屈,背屈,外転,回旋"
12152,足底を内側へ向ける運動は？,"内反,外反,回内,回外"
12153,足底を外側へ向ける運動は？,"外反,内反,屈曲,伸展"
12154,肩関節を前へ上げる運動は？,"屈曲,伸展,外転,水平外転"
12155,肩関節を後ろへ引く運動は？,"伸展,屈曲,回内,内転"
12156,股関節を外側へ回す運動は？,"外旋,内旋,外転,回内"
12157,股関節を内側へ回す運動は？,"内旋,外旋,伸展,底屈"
12158,親指と小指を近づける運動は？,"対立,回外,外転,回旋"
12168,股関節外転の正常可動域は？,"45°,15°,90°,180°"
12189,歩行周期で両足が接地している時期を何という？,"両脚支持期,立脚期,遊脚期,加速期"
12190,歩行周期で足が床についている時期は？,"立脚期,遊脚期,加速期,減速期"
12191,歩行周期で足が床から離れている時期は？,"遊脚期,立脚期,両脚支持期,接地期"
12192,踵が床に接地する歩行時期は？,"初期接地,立脚終期,遊脚中期,前遊脚期"
12193,歩行時に最も安定している時期は？,"両脚支持期,遊脚期,加速期,減速期"
12194,歩行速度に最も影響する要素は？,"歩幅と歩行率,身長,体重,腕の長さ"
12195,歩行時に体重支持を主に行う時期は？,"立脚期,遊脚期,加速期,減速期"
12196,歩行時につま先が床から離れる時期は？,"前遊脚期,初期接地,立脚中期,遊脚終期"
12197,歩行時の重心移動で主に上下動を減らす構造は？,"膝関節屈曲,肩関節屈曲,肘関節伸展,頸部回旋"
12198,歩行時に骨盤の安定化へ重要な筋は？,"中臀筋,上腕二頭筋,腹直筋,前脛骨筋"
12199,遊脚期に足尖クリアランスへ重要な筋は？,"前脛骨筋,腓腹筋,大臀筋,僧帽筋"
12200,立脚終期で重要な運動は？,"足関節底屈,足関節背屈,膝関節屈曲,肩関節外転"
12201,歩行時に腕を振る主な目的は？,"バランス保持,呼吸促進,視覚補助,体温調節"
12202,正常歩行で歩隔は一般的にどうなる？,"狭すぎず広すぎない,完全に0cm,50cm以上,常に一定でない"
12203,片脚支持期で重要な能力は？,"バランス能力,握力,視力,聴力"
12204,正常姿勢で耳垂はどこと一直線上に近い？,"肩峰,膝蓋骨,足関節,肘関節"
12207,片脚立位で骨盤安定に重要な筋は？,"中臀筋,上腕二頭筋,腹直筋,前脛骨筋"
12208,立位姿勢保持で重要な筋群は？,"抗重力筋,表情筋,咀嚼筋,外眼筋"
12209,脊柱起立筋の主な役割は？,"体幹伸展と姿勢保持,膝関節屈曲,肩関節外転,足関節底屈"
12211,姿勢制御に関与する感覚器は？,"前庭器,胃,肺,肝臓"
12212,重心線が前方へ移動すると増えやすい負担は？,"腰部負担,握力低下,視力低下,聴力低下"
12214,姿勢保持で視覚が担う役割は？,"空間認識,筋収縮停止,骨形成,血液循環"
12215,立位時の支持基底面とは？,"足底で囲まれた範囲,肩幅,身長,骨盤幅"
12217,高齢者で低下しやすい能力は？,"バランス能力,骨長,肺数,歯数"
12218,良い姿勢の特徴は？,"最小限の筋活動で保持できる,常に筋緊張最大,重心が大きく偏る,支持基底面が極端に狭い"
12219,力の回転作用を何という？,"モーメント,慣性,張力,摩擦"
12220,身体に働く重力中心を何という？,"重心,支点,作用点,床反力"
12221,床から身体へ返ってくる力は？,"床反力,摩擦力,遠心力,張力"
12222,物体が静止状態を保とうとする性質は？,"慣性,弾性,粘性,可塑性"
12224,重心線が支持基底面外へ出るとどうなる？,"不安定になる,安定性が増す,筋力増加する,呼吸が停止する"
12225,てこの支点・力点・作用点を利用する学問は？,"バイオメカニクス,生化学,組織学,薬理学"
12226,筋が骨を引っ張ることで起こる運動は？,"てこ運動,回旋運動,波動運動,振動運動"
12227,関節中心から力の作用線までの距離を何という？,"モーメントアーム,支持基底面,重心線,床反力"
12228,歩行時に床を蹴ることで前進する原因は？,"床反力,重力消失,慣性停止,筋疲労"
12229,摩擦力が少なすぎるとどうなる？,"滑りやすくなる,安定性が増す,筋力が増加する,重心が固定される"
12230,人体で最も多くみられるてこは？,"第3のてこ,第1のてこ,第2のてこ,滑車"
12231,シーソーに例えられるてこは？,"第1のてこ,第2のてこ,第3のてこ,滑車"
12232,つま先立ちに例えられるてこは？,"第2のてこ,第1のてこ,第3のてこ,固定てこ"
12233,肘関節屈曲運動に多いのは？,"第3のてこ,第1のてこ,第2のてこ,固定軸"
12234,歩行分析で観察される基本要素は？,"立脚期と遊脚期,筋肥大と萎縮,脈拍と血圧,視力と聴力"
12235,椅子から立ち上がる動作で重要な関節運動は？,"股関節伸展,肩関節外転,前腕回外,足趾屈曲"
12237,歩行中の骨盤安定に重要な筋は？,"中臀筋,上腕二頭筋,前脛骨筋,広背筋"
12238,立ち上がり動作で重心はどう移動する？,"前上方,後下方,左右のみ,移動しない"
12239,歩行時のつまずき防止に重要な運動は？,"足関節背屈,足関節底屈,股関節内旋,肩関節伸展"
12240,しゃがみ込み動作で主に必要な関節運動は？,"股関節・膝関節屈曲,肩関節伸展,前腕回内,頸部伸展"
12242,立位保持で重要な能力は？,"バランス能力,握力,視力,聴力"
12243,歩行分析で観察される足の接地順序は？,"踵→足底→つま先,つま先→踵→足底,足底→踵→つま先,つま先→足底→踵"
12244,方向転換動作で重要な能力は？,"動的バランス,握力,肺活量,視力"
12245,歩行時に床から受ける力は？,"床反力,摩擦消失,遠心力,慣性消失"
12246,立ち上がり動作で最初に起こりやすい運動は？,"体幹前傾,体幹後屈,頸部回旋,肩関節外転"
12248,片脚立位時間は何の評価に使われる？,"バランス能力,肺機能,視力,握力"
15095,膝関節伸展に働く筋は？,"大腿四頭筋,ハムストリングス,前脛骨筋,腓腹筋"
15097,肘関節屈曲の主動作筋は？,"上腕二頭筋,上腕三頭筋,円回内筋,尺側手根屈筋"
15098,肩関節内旋に働く筋は？,"肩甲下筋,棘下筋,小円筋,棘上筋"
15099,股関節外転に働く筋は？,"中臀筋,大腿直筋,薄筋,大内転筋"
15100,手関節背屈に関与する神経は？,"橈骨神経,尺骨神経,正中神経,筋皮神経"
15101,膝関節屈曲に主に働く筋群は？,"ハムストリングス,大腿四頭筋,下腿三頭筋,中臀筋"
15102,足関節底屈に主に働く筋は？,"下腿三頭筋,前脛骨筋,長趾伸筋,長母趾伸筋"
15116,歩行周期で両脚が接地している時期を何という？,"両脚支持期,遊脚期,立脚中期,加速期"
15119,パーキンソン病で特徴的な歩行は？,"小刻み歩行,鶏歩,動揺性歩行,間欠性跛行"
15120,立脚初期に踵接地を制御する筋は？,"前脛骨筋,下腿三頭筋,大腿四頭筋,中臀筋"
15121,つま先離地に重要な筋は？,"下腿三頭筋,前脛骨筋,大臀筋,大腿四頭筋"
15126,立位姿勢保持で重要な筋は？,"脊柱起立筋,上腕二頭筋,前脛骨筋,大胸筋"
15136,関節運動で回転中心からの距離を何という？,"モーメントアーム,支点,作用線,重心"
15171,肩関節屈曲の正常ROMに最も近いのは？,"180°,90°,45°,20°"
15172,肩関節外転の正常ROMに最も近いのは？,"180°,60°,30°,10°"
15173,肘関節屈曲の正常ROMに最も近いのは？,"145°,60°,90°,200°"
15174,膝関節屈曲の正常ROMに最も近いのは？,"130°,45°,70°,200°"
15175,足関節背屈の正常ROMに最も近いのは？,"20°,90°,45°,0°"
15176,足関節底屈の正常ROMに最も近いのは？,"45°,10°,90°,5°"
15177,股関節屈曲の正常ROMに最も近いのは？,"125°,30°,70°,180°"
15178,股関節伸展の正常ROMに最も近いのは？,"15°,90°,60°,45°"
15179,前腕回外の正常ROMに最も近いのは？,"90°,20°,45°,150°"
15180,頸部回旋の正常ROMに最も近いのは？,"60°,10°,180°,25°"
15186,下腿三頭筋の主な作用は？,"足関節底屈,足関節背屈,膝伸展,股関節屈曲"
15190,腸腰筋の主な作用は？,"股関節屈曲,股関節伸展,膝伸展,足関節底屈"
18666,股関節伸展に働く筋は？,"大臀筋,腸腰筋,中臀筋,縫工筋"
18667,足関節背屈の主動作筋は？,"前脛骨筋,ヒラメ筋,腓腹筋,長腓骨筋"
18669,肩関節外旋に働く筋は？,"棘下筋,大胸筋,広背筋,肩甲下筋"
18670,股関節外転の主動作筋は？,"中臀筋,大臀筋,内転筋群,大腿直筋"
18672,足関節底屈の主動作筋は？,"腓腹筋,前脛骨筋,長趾伸筋,長母趾伸筋"
18673,前腕回内に働く筋は？,"円回内筋,上腕二頭筋,腕橈骨筋,回外筋"
18674,前腕回外に働く筋は？,"上腕二頭筋,円回内筋,方形回内筋,尺側手根屈筋"
18675,肩甲骨挙上に働く筋は？,"僧帽筋上部,前鋸筋,小胸筋,大円筋"
18676,肩甲骨外転に働く筋は？,"前鋸筋,菱形筋,僧帽筋中部,肩甲挙筋"
18677,股関節屈曲の主動作筋は？,"腸腰筋,大臀筋,大腿二頭筋,中臀筋"
18678,肩関節屈曲の正常ROMは？,"180°,90°,45°,60°"
18679,肩関節外転の正常ROMは？,"180°,120°,90°,60°"
18680,肘関節屈曲の正常ROMは？,"145°,90°,180°,70°"
18681,肘関節伸展の正常ROMは？,"0°,30°,45°,90°"
18682,股関節屈曲の正常ROMは？,"125°,45°,60°,90°"
18683,股関節伸展の正常ROMは？,"15°,90°,45°,120°"
18687,前腕回内の正常ROMは？,"90°,45°,20°,120°"
18688,前腕回外の正常ROMは？,"90°,30°,180°,60°"
18690,肩関節外旋の正常ROMは？,"60°,20°,180°,120°"
18691,肩関節内旋の正常ROMは？,"80°,20°,45°,120°"
18692,股関節外転の正常ROMは？,"45°,10°,90°,120°"
18700,三角筋中部の主な作用は？,"肩関節外転,肩関節内転,肘関節屈曲,前腕回内"
18703,棘下筋の主な作用は？,"肩関節外旋,肩関節内旋,肩関節屈曲,肘関節屈曲"
18704,肩甲下筋の主な作用は？,"肩関節内旋,肩関節外旋,肩関節伸展,手関節屈曲"
18706,僧帽筋上部の主な作用は？,"肩甲骨挙上,肩甲骨下制,肩関節屈曲,股関節外転"
18709,中臀筋麻痺でみられる歩行は？,"トレンデレンブルグ歩行,鶏歩,失調性歩行,痙性歩行"
18710,下垂足でみられる歩行は？,"鶏歩,小刻み歩行,分回し歩行,失調性歩行"
18711,片麻痺患者でみられる歩行は？,"分回し歩行,小刻み歩行,動揺性歩行,鶏歩"
18712,小脳障害でみられる歩行は？,"失調性歩行,鶏歩,分回し歩行,痙性歩行"
18713,歩行周期で両脚が接地している時期は？,"両脚支持期,立脚中期,遊脚期,立脚終期"
18715,正常歩行で遊脚期は何％程度か？,"40%,60%,20%,80%"
18717,立脚後期で主に働く筋は？,"腓腹筋,前脛骨筋,上腕二頭筋,中臀筋"
18718,歩行速度低下が特徴なのは？,"パーキンソン病,小脳失調,下垂足,トレンデレンブルグ歩行"
18719,股関節外転筋が重要となる歩行時期は？,"片脚支持期,遊脚期,両脚支持期,加速期"
18720,痙性歩行でみられやすい特徴は？,"下肢伸展位,膝折れ,下垂足,体幹前屈"
18721,歩行時の推進力に重要な筋は？,"下腿三頭筋,前脛骨筋,上腕三頭筋,腹直筋"
18722,歩行時に骨盤の水平保持を行う筋は？,"中臀筋,大臀筋,大腿四頭筋,前脛骨筋"
18723,猫背姿勢で増強しやすい脊柱弯曲は？,"胸椎後弯,腰椎前弯,頸椎前弯,側弯"
18724,正常立位で重心線が通る部位は？,"耳垂,肩峰後方,踵後方,膝蓋骨前方"
18726,骨盤後傾で短縮しやすい筋は？,"ハムストリングス,腸腰筋,脊柱起立筋,大腿直筋"
18729,側弯症でみられる変形は？,"脊柱側方弯曲,脊柱前弯増強,骨盤後傾,膝反張"
18733,姿勢反射に関与する中枢は？,"小脳,側頭葉,後頭葉,海馬"
18734,立位バランスで重要な感覚は？,"深部感覚,味覚,嗅覚,痛覚のみ"
18735,円背姿勢で短縮しやすい筋は？,"大胸筋,僧帽筋下部,脊柱起立筋,中臀筋"
